Wall time,Step,Value
1638818270.1834025,7470,700.0
1638818276.2175455,7482,411.0
1638818288.285267,7506,411.0
1638818294.3207667,7518,411.0
1638818298.3481512,7526,411.0
1638818301.3641763,7532,411.0
1638818306.9034028,7543,700.0
1638818310.9252112,7551,700.0
1638818311.930732,7553,700.0
1638818314.9463859,7559,700.0
1638818317.962212,7565,700.0
1638818332.046395,7593,700.0
1638818335.5663376,7600,644.0
1638818336.571896,7602,644.0
1638818337.5818987,7604,644.0
1638818339.0888562,7607,644.0
1638818354.6835039,7638,644.0
1638818355.1867533,7639,644.0
1638818357.701683,7644,644.0
1638818365.7475998,7660,644.0
1638818366.250282,7661,644.0
1638818396.432146,7721,700.0
1638818399.4489796,7727,700.0
1638818400.9579546,7730,700.0
1638818414.0334396,7756,700.0
1638818414.536143,7757,700.0
1638818416.547933,7761,700.0
1638818433.1434371,7794,700.0
1638818433.645711,7795,700.0
1638818446.71966,7821,700.0
1638818455.277955,7838,700.0
1638818457.2888162,7842,700.0
1638818461.3106847,7850,700.0
1638818463.825051,7855,700.0
1638818464.3284807,7856,700.0
1638818467.3464804,7862,700.0
1638818477.4135938,7882,700.0
1638818483.9517775,7895,700.0
1638818486.9688747,7901,700.0
1638818499.548745,7926,700.0
1638818501.056757,7929,700.0
1638818529.7154982,7986,700.0
1638818549.834824,8026,331.0
1638818551.3423698,8029,331.0
1638818551.8450665,8030,331.0
1638818552.8506675,8032,331.0
1638818559.8905733,8046,331.0
1638818563.9164152,8054,331.0
1638818575.4877257,8077,700.0
1638818575.9898703,8078,700.0
1638818585.0402076,8096,700.0
1638818598.1161575,8122,700.0
1638818608.171064,8142,700.0
1638818609.1770155,8144,700.0
1638818618.7349987,8163,700.0
1638818619.2378745,8164,700.0
1638818633.3189683,8192,700.0
1638818637.3417637,8200,700.0
1638818637.8444417,8201,700.0
1638818645.3855577,8216,700.0
1638818651.9204688,8229,700.0
1638818652.4231951,8230,700.0
1638818664.9934843,8255,538.0
1638818676.057782,8277,504.0
1638818679.0737813,8283,504.0
1638818680.5885549,8286,504.0
1638818681.0913775,8287,504.0
1638818683.1026514,8291,504.0
1638818685.6175199,8296,504.0
1638818688.1316283,8301,504.0
1638818712.338861,8349,577.0
1638818713.8489037,8352,577.0
1638818719.381127,8363,577.0
1638818723.9067166,8372,577.0
1638818726.4205394,8377,577.0
1638818736.4743307,8397,700.0
1638818743.5143795,8411,700.0
1638818746.027122,8416,700.0
1638818766.647634,8457,700.0
1638818768.659613,8461,700.0
1638818783.7482367,8491,700.0
1638818790.2887995,8504,700.0
1638818798.8388011,8521,700.0
1638818803.3649073,8530,700.0
1638818812.4148736,8548,700.0
1638818815.4312701,8554,422.0
1638818819.9575984,8563,422.0
1638818839.0685663,8601,462.0
1638818841.592413,8606,462.0
1638818847.6286352,8618,462.0
1638818848.6343193,8620,462.0
1638818849.1373467,8621,462.0
1638818852.1553197,8627,462.0
1638818868.2494955,8659,700.0
1638818870.2614894,8663,700.0
1638818885.8488185,8694,505.0
1638818888.8659024,8700,505.0
1638818895.4085317,8713,505.0
1638818897.922678,8718,505.0
1638818900.9402602,8724,505.0
1638818910.9961765,8744,505.0
1638818915.01823,8752,505.0
1638818916.0236742,8754,700.0
1638818927.0884547,8776,700.0
1638818928.0940287,8778,700.0
1638818933.121786,8788,700.0
1638818938.6636539,8799,700.0
1638818949.2266164,8820,700.0
1638818950.7344532,8823,700.0
1638818955.759993,8833,700.0
1638818971.8483584,8865,700.0
1638818974.3623085,8870,700.0
1638818977.8822339,8877,700.0
1638818983.4123893,8888,700.0
1638818986.4311817,8894,700.0
1638818989.949352,8901,700.0
1638818997.9965696,8917,700.0
1638819000.0070987,8921,700.0
1638819009.5609913,8940,700.0
1638819022.637247,8966,700.0
1638819024.6477575,8970,700.0
1638819029.1720674,8979,700.0
1638819032.1906717,8985,700.0
1638819032.693145,8986,700.0
1638819034.7044394,8990,700.0
1638819042.7549207,9006,700.0
1638819056.3309717,9033,700.0
1638819064.3758624,9049,700.0
1638819068.900548,9058,700.0
1638819072.4273734,9065,700.0
1638819074.9418647,9070,700.0
1638819098.5752976,9117,700.0
1638819100.5860417,9121,700.0
1638819116.1736693,9152,194.0
1638819120.7022235,9161,194.0
1638819122.2118843,9164,194.0
1638819135.2867985,9190,194.0
1638819136.7945485,9193,700.0
1638819140.3176134,9200,700.0
1638819141.825236,9203,700.0
1638819144.3389258,9208,700.0
1638819146.3498604,9212,700.0
1638819150.8727005,9221,700.0
1638819151.375674,9222,700.0
1638819153.387211,9226,700.0
1638819157.4094114,9234,700.0
1638819166.4613097,9252,700.0
1638819166.9638817,9253,700.0
1638819186.0750418,9291,700.0
1638819192.1068673,9303,700.0
1638819193.1121774,9305,700.0
1638819196.633245,9312,700.0
1638819201.6613607,9322,700.0
1638819202.1640363,9323,700.0
1638819204.175285,9327,700.0
1638819207.1918046,9333,700.0
1638819208.7000868,9336,700.0
1638819213.2246084,9345,700.0
1638819216.747697,9352,700.0
1638819220.2709763,9359,700.0
1638819223.2887945,9365,700.0
1638819223.791756,9366,700.0
1638819226.8078847,9372,700.0
1638819229.3221893,9377,700.0
1638819234.350452,9387,700.0
1638819239.378775,9397,700.0
1638819242.3955605,9403,700.0
1638819249.9355252,9418,700.0
1638819259.9887993,9438,700.0
1638819261.4978125,9441,700.0
1638819262.501884,9443,700.0
1638819269.0358117,9456,700.0
1638819273.058085,9464,700.0
1638819276.076552,9470,700.0
1638819277.081958,9472,700.0
1638819285.1325836,9488,700.0
1638819285.6347935,9489,700.0
1638819286.1378484,9490,700.0
1638819301.2252254,9520,700.0
1638819310.3876102,9538,700.0
1638819314.9120839,9547,700.0
